month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202112,new hampshire,nh,450000.0,0.0526,0.1897,1242,-0.2319,-0.3446,55.5,0.15625,-0.05128205128205132,796,-0.3933,-0.131,32,-0.5294,-0.4667,116,-0.6027,-0.6027,1269,-0.2248,-0.2596,243.31293051811917,0.0317,0.2076,1883.0,0.0107,0.0102,640720.4619284489,0.0557,0.2243,2511,-0.2283,-0.3042,1.0217391304347827,0.0094,0.1173,0
202112,florida,fl,419450.0,0.0107,0.202,47034,-0.0751,-0.4814,50.5,0.05208333333333326,-0.2836879432624113,26116,-0.1427,-0.1495,3288,-0.0084,-0.3173,8768,-0.2562,-0.4781,66874,-0.0572,0.0286,250.52521008403363,0.0161,0.2054,1652.5,-0.003,0.007,941632.3784169354,0.028,0.242,113908,-0.0647,-0.2685,1.4218225113747502,0.027,0.705,0
202112,texas,tx,346731.99999999994,-0.0091,0.156,43992,-0.0892,-0.2309,51.0,0.10869565217391308,-0.13559322033898302,22996,-0.2003,-0.0086,3620,0.08,-0.1171,9312,-0.26,-0.1745,47986,-0.0753,-0.018,168.81102195945942,0.0018,0.162,2039.5,-0.0097,-0.0309,496881.7359272387,-0.0101,0.0871,91978,-0.082,-0.1328,1.0907892344062557,0.0163,0.2365,0
202112,montana,mt,550000.0,0.0018,0.3784,1996,-0.1337,-0.2314,88.0,0.1282051282051282,-0.06382978723404253,588,-0.1648,-0.1091,28,0.4,-0.2222,184,-0.4773,-0.193,2318,-0.1692,-0.1322,267.7651065212791,0.0246,0.3562,2168.5,0.0133,0.0114,1118841.8055192195,0.0583,0.278,4314,-0.1531,-0.1811,1.1613226452905812,-0.0496,0.1328,1
202112,kansas,ks,209950.0,-0.005,0.0769,3627,-0.0869,-0.2294,57.0,0.10679611650485432,-0.109375,1744,-0.1315,0.0093,172,0.4333,0.2647,636,-0.4,-0.2206,4896,-0.1424,0.0349,113.90074000197006,0.003,0.117,1820.5,-0.0068,-0.0506,313182.6084145139,0.0263,0.0491,8523,-0.1196,-0.0969,1.349875930521092,-0.0874,0.3448,0
202112,alaska,ak,349750.0,0.0213,0.1662,1044,-0.1621,-0.3376,86.0,0.25547445255474455,-0.05494505494505497,272,-0.2093,-0.2,28,0.4,0.75,136,-0.5143,-0.2917,77,-0.1809,-0.3246,203.33434305723532,0.031,0.1322,1747.0,-0.0068,0.0399,437269.5348858355,0.0314,0.1411,1121,-0.1634,-0.3367,0.07375478927203065,-0.0017,0.0014,0
202112,oklahoma,ok,234950.0,0.0166,0.0583,6103,-0.0985,-0.1973,57.5,0.12745098039215685,-0.04166666666666663,2648,-0.2338,-0.0265,148,-0.4127,-0.2745,1208,-0.2723,-0.1065,7099,-0.1145,0.0488,128.73780747736683,0.0067,0.1428,1801.0,0.0006,-0.0571,345201.43788277265,-0.0051,0.0765,13202,-0.1072,-0.0814,1.1631984270031133,-0.021,0.2729,0
202112,new york,ny,637964.0,-0.0023,0.0642,44258,-0.1141,-0.1665,76.0,0.1968503937007875,-0.07317073170731703,9892,-0.3228,0.0123,752,-0.1644,0.3056,5056,-0.3807,-0.3241,31374,-0.0475,-0.1487,421.4816176470588,0.0526,0.2252,1506.0,-0.0189,-0.0878,1647212.6490558854,0.0315,0.2447,75632,-0.0877,-0.1592,0.7088887884676217,0.0496,0.0149,0
202112,south carolina,sc,324755.0,-0.0008,0.1598,9203,-0.0868,-0.3979,50.5,0.1348314606741574,-0.24626865671641796,4704,-0.2227,-0.1171,1392,0.0875,0.2473,1644,-0.2877,-0.3538,13894,-0.0804,0.0781,165.34364693759363,0.0022,0.1006,1990.0,0.0033,0.0493,505730.82174904627,-0.0224,0.1197,23097,-0.0829,-0.1801,1.509725089644681,0.0106,0.6665,0
202112,tennessee,tn,349900.0,-0.0003,0.097,9136,-0.1122,-0.2432,45.0,0.139240506329114,-0.09999999999999998,5316,-0.2508,-0.0023,364,-0.0421,-0.5285,2204,-0.2604,-0.1084,12613,-0.1029,0.0182,182.98837629172994,0.0016,0.1667,2000.0,-0.003,-0.0186,535755.1015998299,-0.0041,0.1661,21749,-0.1069,-0.1108,1.3805823117338003,0.0143,0.3545,0
